#0
认识新同学|介绍自己|be动词；人称代词|Hello I am Lily~你好我是莉莉|My name is Ben~我的名字是本|We are in the same class~我们在同一个班
早晨问候|问候与回应|一般现在时|Good morning Miss Wang~王老师早上好|You are early today~你今天来得很早|I like our morning reading~我喜欢我们的晨读
寻找座位|询问位置|where疑问句；方位词|Where is my seat~我的座位在哪里|It is beside the window~它在窗户旁边|I can see the playground~我能看见操场
借一块橡皮|礼貌请求|can请求；物主代词|Can I use your eraser~我可以用你的橡皮吗|The blue eraser is mine~那块蓝橡皮是我的|I will give it back soon~我很快就会还给你
认领铅笔|确认物品归属|一般疑问句；物主代词|Is this your pencil~这是你的铅笔吗|My pencil has a red star~我的铅笔上有一颗红星|Then this one is yours~那么这支就是你的
打开课本|理解课堂指令|祈使句；can|Please open your English book~请打开你的英语书|Can you show me the page~你能指给我看是哪一页吗|Look at the picture of a cat~看那幅猫的图片
一起数数|合作完成任务|how many；复数|How many blocks do we have~我们有多少块积木|There are six on the table~桌上有六块|Let us count them together~我们一起来数一数吧
给图画涂色|描述颜色|what疑问句；一般现在时|What color is your kite~你的风筝是什么颜色|It is yellow and blue~它是黄色和蓝色的|Those colors look bright together~这两种颜色放在一起很鲜艳
点心分享|主动分享|have；礼貌回应|I have two rice cakes~我有两块米糕|May I have a small piece~我可以吃一小块吗|This piece is for you~这一块是给你的
课间喝水|表达需要|be状态；祈使句|I am thirsty after the game~玩过游戏后我口渴了|Your water bottle is here~你的水壶在这里|Please drink some water too~也请你喝点水吧
介绍家人|介绍他人|who疑问句；be动词|Who is the girl in this photo~这张照片里的女孩是谁|She is my little sister~她是我的妹妹|Her smile is very sweet~她的笑容很甜
周末陪爷爷|介绍家庭活动|一般现在时|My grandpa grows flowers~我爷爷种花|Do you help him water them~你帮他浇水吗|I carry a small watering can~我提一个小洒水壶
寻找袜子|询问与描述|where；颜色形容词|Where are my green socks~我的绿袜子在哪里|One sock is under your bed~一只袜子在你的床下面|The other one is in my shoe~另一只在我的鞋里
整理书包|说明准备情况|have；祈使句|I have my books and lunch~我带好了书和午餐|Do you have your raincoat~你带雨衣了吗|Let me put it in my bag~让我把它放进书包里
雨天出门|观察天气|现在进行时；can|It is raining outside~外面正在下雨|We can share my umbrella~我们可以共用我的伞|Let us walk close together~我们靠近一点走吧
